Ryan,Adams
Felix,Agakov
Alekh,Agarwal
Deepak,Agarwal
Edoardo,Airoldi
Ayesha,Ali
Yasemin,Altun
Christophe,Ambroise
Massih-reza,Amini
Christoforos,Anagnostopoulos
Golightly,Andrew
Christophe,Andrieu
Cedric,Archambeau
Andreas,Argyriou
Peter,Auer
Francis,Bach
Drew,Bagnell
Veera,Baldandayuthapani
Mikhail,Belkin
Shai,Ben,David
Yoshua,Bengio
Alex,Beskos
Alina,Beygelzimer
Danny,Bickson
Christopher,Bishop
John,Blitzer
Phil,Blunsom
Natalia,Bochkina
Howard,Bondell
Karsten,Borgwardt
Guillaume,Bouchard
Ulf,Brefeld
Mark,Briers
Olivier,Cappe
Peter,Carbonetto
Francois,Caron
Carlos,Carvalho
Roberto,Casarin
Robert,Castelo
Taylan,Cemgil
Nicol`o,Cesa-Bianchi
Sounak,Chakraborty
Kamalika,Chaudhuri
Silvia,Chiappa
Max,Chickering
Seungjin,Choi
Nicolas,Chopin
Wei,Chu
Stephan,Clemencon
Michael,Collins
Aaron,Courville
Robert,Cowell
Koby,Crammer
Botond,Cseke
Padraig,Cunningham
Marco,Cuturi
David,Dahl
Adnan,Darwiche
Denver,Dash
Sujay,Datta
Hal,Daume,III
Jesse,Davis
Philip,Dawid
Nando,de,Freitas
Tijl,Debie
Marc,Deisenroth
Xinwei,Deng
Frederic,Desobry
Tom,Diethe
Adrian,Dobra
Pedro,Domingos
Frank,Dondelinger
Finale,Doshi-Velez
Arnaud,Doucet
Kevin,Duh
Richard,Dybowski
Jason,Eisner
Frank,Emmert-Streib
Paul,Fearnhead
Emily,Fox
Brendan,Frey
Nial,Friel
Zoubin,Ghahramani
Samiran,Ghosh
Mark,Girolami
Amir,Globerson
Simon,Godsill
Anna,Goldenberg
Sharon,Goldwater
Geoffrey,Gordon
Isobel,Claire,Gormley
Dilan,Gorur
Gerard,Govaert
Thore,Graepel
Bobby,Gramacy
Alexander,Gray
Jim,Griffin
Thomas,Griffiths
Marco,Grzegorczyk
Steffen,Gr¨unew¨alder
Carlos,Guestrin
Vincent,Guigue
Steve,Hanneke
Chris,Hans
Zaid,Harchaoui
David,Hardoon
Stefan,Harmeling
Tamir,Hazan
Nicolas,Heess
Matthias,Hein
Katherine,Heller
Christian,Hennig
Ralf,Herbrich
Mark,Herbster
Tom,Heskes
Geoffrey,Hinton
Chris,Holmes
Antti,Honkela
Patrik,Hoyer
Daniel,Hsu
Merrilee,Hurn
Dirk,Husmeier
Zakria,Hussain
Alexander,Ihler
Tommi,Jaakkola
Laurent,Jacob
Alejandro,Jara
Rodolphe,Jenatton
Shane,Jensen
Jing,Jiang
Adam,Johansen
Jason,Johnson
Ata,Kaban
Bo,Kai
Kostas,Kalogeropoulos
Nikolas,Kantas
Bert,Kappen
Dimitris,Karlis
Thomas,Kneib
David,Knowles
Pushmeet,Kohli
Eric,Kolaczyk
Vladimir,Kolmogorov
Risi,Kondor
Ioannis,Kontoyiannis
Andreas,Krause
Balaji,Krishnapuram
Alex,Kulesza
Branislav,Kveton
Theo,Kypraios
Simon,Lacoste-Julien
Christoph,Lampert
Hugo,Larochelle
Nicolas,Le,Roux
Guy,Lebanon
Sophie,Lebre
Wee,Sun,Lee
Yoonkyung,Lee
Wolfgang,Lehrach
Chenlei,Leng
Alex,Lenkoski
Jure,Leskovec
Ping,Li
Faming,Liang
Feng,Liang
Percy,Liang
Chih-Jen,Lin
Yufeng,Liu
Phil,Long
jinchi,Lv
Marloes,Maathuis
Steve,MacEachern
Julien,Mairal
Bani,Mallick
Shie,Mannor
Vikash,Mansinghka
Florian,Markowetz
Jon,McAuliffe
Ryan,McDonald
Geoff,McLachlan
Brendan,McMahan
Paul,McNicholas
Talya,Meltzer
Ramses,Mena
Kurt,Miller
Shakir,Mohamed
Joris,Mooij
Sach,Mukherjee
Sayan,Mukherjee
Peter,Muller
Brendan,Murphy
Kevin,Murphy
Iain,Murray
Fionn,Murtagh
Long,Nguyen
Adams,Niall
Hannes,Nickisch
Mahesan,Niranjan
David,Nott
Sebastian,Nowozin
Rebecca,Nugent
Guillaume,Obozinski
Sofia,Olhede
Cheng,Soon,Ong
Peter,Orbanz
Wei,Pan
Omiros,Papaspiliopoulos
Ulrich,Paquet
Charles,Parker
Will,Penny
Fernando,Perez-Cruz
Jan,Peters
Sonia,Petrone
Tony,Pettitt
Natesh,Pillai
Massimiliano,Pontil
David,Poole
Pascal,Poupart
Igor,Pruenster
Yuan,Qi
Fernando,Quintana
Ali,Rahimi
Alain,Rakotomamonjy
Liva,Ralaivola
Jan,Ramon
Roland,Ramsahai
Marc'Aurelio,Ranzato
Magnus,Rattray
Pradeep,Ravikumar
Ben,Recht
Iead,Rezek
Thomas,Richardson
Irina,Rish
Stephen,Roberts
Simon,Rogers
Volker,Roth
Daniel,Roy
Sivan,Sabato
Ruslan,Salakhutdinov
Guido,Sanguinetti
Sunita,Sarawagi
Stefan,Schaal
Richard,Scheines
Mark,Schmidt
James,Scott
Luca,Scrucca
Matthias,Seeger
Fei,Sha
Greg,Shakhnarovich
Ohad,Shamir
Haipeng,Shen
Susan,Shortreed
Ilya,Shpitser
Ricardo,Silva
Karthik,Sindharan
Aarti,Singh
Sumeet,Singh
Adam,Smith
James,Smith
Peter,Sollich
Soeren,Sonnenburg
David,Sontag
Dario,Spano
Luigi,Spezia
Nathan,Srebro
Elena,Stanghellini
Oliver,Stegle
David,Stern
Amos,Storkey
Korbinian,Strimmer
Milan,Studeny
Erik,Sudderth
Seth,Sullivant
Ilya,Sutskever
Charles,Sutton
Csaba,Szepesv´ari
Prasad,Tadepalli
Benjamin,Taskar
Ambuj,Tewari
Romain,Thibaux
Jo-Anne,Ting
Michalis,Titsias
Marc,Toussaint
Volker,Tresp
Koji,Tsuda
Ryan,Turner
Frederic,Udina
Raquel,Urtasun
Laurens,van,der,Maaten
Jurgen,Van,Gael
Suresh,Venkatasubramanian
Matthieu,Vignes
Ulrike,von,Luxburg
Christian,Walder
Junhui,Wang
Sijian,Wang
Kilian,Weinberger
Max,Welling
Adriano,Werhli
Nick,Whiteley
Wim,Wiegerinck
Sinead,Williamson
John,Winn
Ole,Winther
David,Wipf
Daniela,Witten
Frank,Wood
Yichao,Wu
Eric,Xing
Christopher,Yau
Yiming,Ying
Kai,Yu
Yaming,Yu
Ming,Yuan
Mikhail,Zaslavskiy
Luke,Zettlemoyer
Hao,Zhang
Jiji,Zhang
Tong,Zhang
Yiyun,Zhang
Alice,Zheng
Jianhui,Zhou
Jerry,Zhu
Ji,Zhu
Onno,Zoeter
Hui,Zou
